,timestamp,track,satisfaction,pacing,location,week
0,7/22/2016 12:52:43,Apps,4,3,SV,5
1,7/22/2016 12:53:47,Apps,5,3,SV,5
2,7/23/2016 14:14:16,Apps,3,3,SV,5
3,7/22/2016 14:37:17,Apps,2,3,SV,5
4,7/22/2016 12:49:36,Games,4,3,SV,5
5,7/22/2016 12:50:23,Games,4,3,SV,5
6,7/22/2016 12:53:36,Apps,5,3,SV,5
7,7/22/2016 13:11:42,Apps,3,3,SV,5
8,7/22/2016 14:03:30,Apps,5,3,SV,5
9,7/22/2016 14:25:23,Apps,4,4,SV,5
10,7/22/2016 14:54:14,Apps,4,3,SV,5
11,7/22/2016 14:26:04,Apps,5,3,SV,5
12,7/22/2016 12:45:30,Intro,4,4,SV,5
13,7/22/2016 14:25:54,Apps,5,3,SV,5
14,7/22/2016 12:47:59,Apps,4,5,SV,5
15,7/22/2016 16:21:04,Apps,2,2,SV,5
16,7/22/2016 14:25:46,Apps,4,3,SV,5
17,7/22/2016 15:53:14,Apps,5,4,SV,5
18,7/22/2016 18:00:51,Apps,3,4,SV,5
19,7/22/2016 12:51:51,Apps,4,4,SV,5
20,7/22/2016 14:26:06,Apps,4,3,SV,5
21,7/22/2016 14:27:03,Apps,4,3,SV,5
22,7/22/2016 14:28:15,Apps,3,4,SV,5
23,7/22/2016 12:43:02,Games,5,3,SV,5
24,7/22/2016 12:46:29,Games,5,3,SV,5
25,7/22/2016 12:50:31,Games,4,5,SV,5
26,7/22/2016 14:26:59,Games,4,3,SV,5
27,7/22/2016 14:27:45,Intro,4,3,SV,5
28,7/22/2016 12:45:12,Intro,4,3,SV,5
29,7/22/2016 13:00:34,Intro,5,3,SV,5
30,7/22/2016 14:40:12,Intro,4,3,SV,5
31,7/22/2016 12:44:15,Intro,4,3,SV,5
32,7/22/2016 12:45:16,Intro,5,3,SV,5
33,7/22/2016 12:49:41,Intro,4,4,SV,5
34,7/22/2016 12:52:37,Intro,4,2,SV,5
35,7/22/2016 12:52:51,Intro,5,3,SV,5
36,7/22/2016 15:24:21,Games,3,5,SV,5
37,7/22/2016 15:54:08,Games,5,2,SV,5
38,7/22/2016 15:24:25,Games,3,3,SV,5
39,7/22/2016 12:45:22,Games,5,3,SV,5
40,7/22/2016 14:04:51,Games,5,3,SV,5
0,7/8/2016 10:31:27,,4,2,LA,3
1,7/8/2016 13:45:52,,4,4,LA,3
2,7/8/2016 13:47:42,,4,3,LA,3
3,7/8/2016 13:47:59,,4,3,LA,3
4,7/8/2016 14:12:24,,4,3,LA,3
5,7/8/2016 14:13:39,,5,4,LA,3
0,7/1/2016 16:35:14,Apps,2,3,SF,2
1,7/1/2016 16:10:55,Apps,3,2,SF,2
2,7/1/2016 17:00:26,Apps,3,3,SF,2
3,7/3/2016 14:53:37,Apps,3,3,SF,2
4,7/1/2016 15:35:19,Apps,4,2,SF,2
5,7/1/2016 15:51:23,Apps,4,2,SF,2
6,7/1/2016 16:07:02,Apps,4,5,SF,2
7,7/1/2016 16:07:26,Apps,4,3,SF,2
8,7/1/2016 16:08:19,Apps,4,4,SF,2
9,7/1/2016 16:12:30,Apps,4,4,SF,2
10,7/1/2016 16:19:32,Apps,4,3,SF,2
11,7/1/2016 16:21:07,Apps,4,5,SF,2
12,7/1/2016 16:41:10,Apps,4,3,SF,2
13,7/1/2016 17:06:05,Apps,4,3,SF,2
14,7/1/2016 17:18:27,Apps,4,3,SF,2
15,7/1/2016 19:06:08,Apps,4,2,SF,2
16,7/2/2016 0:32:56,Apps,4,3,SF,2
17,7/1/2016 16:05:40,Apps,5,3,SF,2
18,7/1/2016 16:07:13,Apps,5,2,SF,2
19,7/1/2016 16:07:24,Apps,5,3,SF,2
20,7/1/2016 16:07:58,Apps,5,3,SF,2
21,7/1/2016 16:07:58,Apps,5,4,SF,2
22,7/1/2016 16:08:49,Apps,5,3,SF,2
23,7/1/2016 16:10:20,Apps,5,3,SF,2
24,7/1/2016 16:10:46,Apps,5,2,SF,2
25,7/1/2016 16:12:17,Apps,5,3,SF,2
26,7/1/2016 16:19:33,Apps,5,4,SF,2
27,7/1/2016 16:22:03,Apps,5,3,SF,2
28,7/1/2016 16:10:34,Games,4,4,SF,2
29,7/1/2016 16:23:13,Games,4,5,SF,2
30,7/1/2016 16:07:04,Games,5,3,SF,2
31,7/1/2016 16:15:04,Games,5,3,SF,2
32,7/1/2016 16:15:41,Games,5,3,SF,2
33,7/1/2016 16:16:13,Games,5,3,SF,2
34,7/1/2016 16:17:34,Games,5,3,SF,2
35,7/1/2016 16:18:02,Games,5,3,SF,2
36,7/1/2016 16:18:02,Games,5,3,SF,2
37,7/1/2016 15:40:51,Intro,3,3,SF,2
38,7/1/2016 15:38:22,Intro,4,2,SF,2
39,7/1/2016 15:40:24,Intro,4,3,SF,2
40,7/1/2016 15:40:28,Intro,4,3,SF,2
41,7/1/2016 15:42:15,Intro,4,3,SF,2
42,7/1/2016 15:49:06,Intro,4,4,SF,2
43,7/1/2016 15:50:59,Intro,4,4,SF,2
44,7/1/2016 16:20:36,Intro,4,4,SF,2
45,7/1/2016 17:13:25,Intro,4,4,SF,2
46,7/5/2016 9:48:32,Intro,4,3,SF,2
47,7/5/2016 16:07:37,Intro,4,4,SF,2
48,7/5/2016 16:10:40,Intro,4,3,SF,2
49,7/5/2016 16:11:11,Intro,4,3,SF,2
50,7/1/2016 16:24:01,Intro,5,4,SF,2
51,7/4/2016 18:31:39,Intro,5,3,SF,2
52,7/5/2016 9:39:22,Intro,5,3,SF,2
53,7/5/2016 10:15:27,Intro,5,3,SF,2
54,7/5/2016 16:09:01,Intro,5,3,SF,2
55,7/2/2016 12:45:15,VR,1,3,SF,2
56,7/2/2016 12:49:55,VR,2,3,SF,2
57,7/5/2016 12:00:21,VR,2,3,SF,2
58,7/1/2016 15:35:33,VR,5,3,SF,2
59,7/2/2016 21:55:49,VR,5,3,SF,2
60,7/5/2016 11:30:35,VR,5,3,SF,2
61,7/5/2016 18:24:11,VR,5,3,SF,2
0,7/31/2016 1:04:57,,3,4,Tokyo,6
1,7/31/2016 3:38:14,,4,3,Tokyo,6
2,7/31/2016 3:59:43,,4,1,Tokyo,6
3,7/31/2016 4:19:51,,4,2,Tokyo,6
4,7/31/2016 5:14:20,,5,4,Tokyo,6
5,7/31/2016 6:50:12,,3,3,Tokyo,6
6,7/31/2016 15:23:52,,5,5,Tokyo,6
7,7/31/2016 16:49:45,,4,2,Tokyo,6
8,8/1/2016 1:18:47,,3,4,Tokyo,6
9,8/1/2016 1:30:17,,5,3,Tokyo,6
10,8/1/2016 1:30:17,,5,3,Tokyo,6
11,8/1/2016 6:15:10,,4,4,Tokyo,6
12,8/1/2016 7:56:08,,4,3,Tokyo,6
0,7/8/2016 6:21:11,Apps,4,3,NY,3
1,7/8/2016 6:21:29,Apps,5,3,NY,3
2,7/8/2016 6:21:35,Intro,4,3,NY,3
3,7/8/2016 6:21:46,Apps,5,3,NY,3
4,7/8/2016 6:22:10,Apps,4,2,NY,3
5,7/8/2016 6:22:35,Games,4,4,NY,3
6,7/8/2016 6:22:50,Intro,4,4,NY,3
7,7/8/2016 6:23:09,Apps,5,3,NY,3
8,7/8/2016 6:23:28,Games,4,4,NY,3
9,7/8/2016 6:23:49,Intro,4,4,NY,3
10,7/8/2016 6:23:50,Games,4,4,NY,3
11,7/8/2016 6:24:25,Apps,4,4,NY,3
12,7/8/2016 6:26:03,Apps,4,3,NY,3
13,7/8/2016 6:26:30,Games,4,3,NY,3
14,7/8/2016 6:26:40,Apps,5,4,NY,3
15,7/8/2016 6:26:49,Apps,4,3,NY,3
16,7/8/2016 6:27:01,Games,4,4,NY,3
17,7/8/2016 6:27:14,Games,5,4,NY,3
18,7/8/2016 6:27:31,Intro,4,4,NY,3
19,7/8/2016 6:27:49,Apps,4,4,NY,3
20,7/8/2016 6:28:49,Games,5,3,NY,3
21,7/8/2016 6:28:56,Intro,3,4,NY,3
22,7/8/2016 6:29:05,Apps,5,3,NY,3
23,7/8/2016 6:33:10,Apps,5,3,NY,3
24,7/8/2016 6:36:23,Intro,4,4,NY,3
25,7/8/2016 6:36:36,Games,5,3,NY,3
26,7/8/2016 6:38:24,Games,5,3,NY,3
27,7/8/2016 12:14:54,Apps,4,3,NY,3
0,7/8/2016 15:56:20,Apps,3,2,SF,3
1,7/8/2016 16:02:55,Apps,5,3,SF,3
2,7/8/2016 16:19:51,Apps,3,3,SF,3
3,7/8/2016 16:34:12,Apps,1,3,SF,3
4,7/8/2016 16:39:27,Apps,5,2,SF,3
5,7/8/2016 16:46:21,Apps,5,5,SF,3
6,7/8/2016 17:33:28,Apps,3,5,SF,3
7,7/9/2016 14:23:38,Apps,5,3,SF,3
8,7/10/2016 20:55:08,Apps,5,3,SF,3
9,7/8/2016 15:58:04,Games,5,3,SF,3
10,7/8/2016 16:08:03,Games,5,4,SF,3
11,7/8/2016 15:55:12,Intro,5,3,SF,3
12,7/8/2016 15:56:10,Intro,4,3,SF,3
13,7/8/2016 15:58:45,Intro,4,3,SF,3
14,7/8/2016 16:40:17,Intro,4,4,SF,3
15,7/8/2016 18:34:39,Intro,5,3,SF,3
16,7/9/2016 8:14:45,Intro,5,3,SF,3
17,7/8/2016 16:23:15,VR,5,3,SF,3
18,7/8/2016 16:27:30,VR,4,4,SF,3
19,7/8/2016 17:18:49,VR,1,5,SF,3
20,7/8/2016 19:14:34,VR,4,4,SF,3
21,7/11/2016 12:10:26,Intro,3,4,SF,3
22,7/11/2016 12:39:56,Intro,4,4,SF,3
0,7/15/2016 13:20:35,,5,3,LA,4
1,7/15/2016 13:22:22,,5,3,LA,4
2,7/15/2016 14:35:15,,5,3,LA,4
3,7/15/2016 15:05:10,,5,4,LA,4
4,7/15/2016 15:12:36,,3,3,LA,4
5,7/15/2016 16:59:37,,4,3,LA,4
6,7/15/2016 17:10:52,,4,3,LA,4
7,7/15/2016 19:32:26,,4,3,LA,4
0,7/29/2016 1:07:23,,5,3,Taipei,6
1,7/29/2016 1:08:46,,5,4,Taipei,6
2,7/29/2016 1:11:16,,5,3,Taipei,6
3,7/29/2016 1:13:23,,5,3,Taipei,6
4,7/29/2016 1:13:56,,4,3,Taipei,6
5,7/29/2016 1:17:27,,4,3,Taipei,6
6,7/29/2016 1:22:25,,3,4,Taipei,6
7,7/29/2016 1:27:55,,3,3,Taipei,6
8,7/29/2016 1:28:54,,5,2,Taipei,6
9,7/29/2016 1:29:23,,4,4,Taipei,6
10,7/29/2016 1:46:49,,5,4,Taipei,6
11,7/29/2016 21:20:05,,5,3,Taipei,6
0,7/1/2016 5:41:15,,4,3,SG,2
1,7/1/2016 8:52:52,,3,3,SG,2
2,7/2/2016 7:49:54,,3,5,SG,2
3,7/3/2016 19:14:57,,3,3,SG,2
4,7/3/2016 19:21:48,,4,4,SG,2
5,7/3/2016 19:27:27,,4,3,SG,2
6,7/3/2016 20:00:26,,3,3,SG,2
7,7/4/2016 3:03:20,,3,3,SG,2
0,8/5/2016 13:37:43,Apps,3,3,SV,7
1,8/5/2016 13:37:50,Apps,5,3,SV,7
2,8/5/2016 13:39:25,Apps,3,3,SV,7
3,8/5/2016 13:39:27,Apps,4,3,SV,7
4,8/5/2016 13:41:05,Apps,4,3,SV,7
5,8/5/2016 13:43:54,Apps,4,3,SV,7
6,8/5/2016 13:34:26,Apps,3,3,SV,7
7,8/5/2016 13:35:21,Apps,3,3,SV,7
8,8/5/2016 13:35:36,Apps,5,3,SV,7
9,8/5/2016 13:36:39,Apps,4,4,SV,7
10,8/5/2016 13:39:14,Apps,4,3,SV,7
11,8/5/2016 13:36:43,Apps,4,3,SV,7
12,8/5/2016 13:49:53,Apps,4,3,SV,7
13,8/5/2016 13:34:54,Apps,5,3,SV,7
14,8/5/2016 13:38:26,Apps,4,3,SV,7
15,8/5/2016 13:51:09,Apps,3,1,SV,7
16,8/5/2016 13:52:31,Apps,5,2,SV,7
17,8/5/2016 13:35:43,Apps,5,3,SV,7
18,8/5/2016 13:38:05,Apps,3,3,SV,7
19,8/5/2016 13:35:03,Apps,4,3,SV,7
20,8/5/2016 13:36:44,Apps,2,3,SV,7
21,8/5/2016 13:38:33,Apps,3,3,SV,7
22,8/5/2016 13:40:07,Apps,3,4,SV,7
23,8/5/2016 13:34:18,Apps,5,5,SV,7
24,8/5/2016 13:34:53,Games,5,4,SV,7
25,8/5/2016 13:38:00,Games,3,3,SV,7
26,8/5/2016 13:51:41,Games,5,3,SV,7
27,8/5/2016 13:34:04,Games,5,4,SV,7
28,8/5/2016 13:32:40,Games,5,5,SV,7
29,8/5/2016 15:07:12,Games,4,3,SV,7
30,8/5/2016 13:36:23,Games,4,3,SV,7
31,8/5/2016 13:51:20,Games,5,3,SV,7
32,8/5/2016 13:39:45,Games,4,4,SV,7
33,8/5/2016 14:44:00,Games,5,3,SV,7
34,8/5/2016 14:03:39,Games,3,3,SV,7
35,8/5/2016 13:47:15,Intro,4,4,SV,7
36,8/5/2016 13:45:29,Intro,4,3,SV,7
37,8/5/2016 13:49:31,Intro,5,3,SV,7
38,8/5/2016 13:47:02,Intro,5,3,SV,7
39,8/5/2016 13:48:45,Intro,5,3,SV,7
40,8/5/2016 13:44:33,Intro,5,3,SV,7
41,8/5/2016 13:43:43,Intro,5,4,SV,7
42,8/5/2016 13:44:24,Intro,4,4,SV,7
43,8/5/2016 13:43:17,Intro,4,3,SV,7
44,8/5/2016 13:51:18,Intro,5,3,SV,7
45,8/5/2016 13:43:35,Intro,4,2,SV,7
46,8/7/2016 17:45:06,Apps,3,3,SV,7
0,8/5/2016 11:13:01,Apps,5,5,SF,7
1,8/5/2016 11:17:11,Apps,3,3,SF,7
2,8/5/2016 11:17:52,Apps,5,3,SF,7
3,8/5/2016 11:18:01,Apps,5,4,SF,7
4,8/5/2016 11:20:15,Apps,4,3,SF,7
5,8/5/2016 11:21:10,Apps,5,3,SF,7
6,8/5/2016 12:11:04,Apps,5,3,SF,7
7,8/5/2016 19:14:21,Apps,4,4,SF,7
8,8/5/2016 11:39:18,Games,5,3,SF,7
9,8/5/2016 12:27:18,Games,5,4,SF,7
10,8/5/2016 11:20:43,Intro,4,3,SF,7
11,8/5/2016 11:38:52,Intro,4,4,SF,7
12,8/5/2016 11:56:23,Intro,5,3,SF,7
13,8/5/2016 12:35:08,Intro,5,3,SF,7
14,8/7/2016 10:45:47,Intro,4,5,SF,7
15,8/5/2016 11:21:38,VR,5,3,SF,7
16,8/8/2016 8:35:18,VR,1,3,SF,7
17,8/8/2016 8:39:01,VR,3,5,SF,7
18,8/8/2016 9:41:39,VR,2,2,SF,7
0,8/5/2016 1:39:41,,3,3,Taipei,7
1,8/5/2016 1:40:47,,4,3,Taipei,7
2,8/5/2016 1:40:50,,4,3,Taipei,7
3,8/5/2016 1:42:44,,4,4,Taipei,7
4,8/5/2016 1:45:13,,5,4,Taipei,7
5,8/5/2016 1:45:39,,4,3,Taipei,7
6,8/5/2016 1:49:21,,4,3,Taipei,7
7,8/8/2016 1:30:34,,5,3,Taipei,7
8,8/8/2016 1:33:45,,5,3,Taipei,7
9,8/8/2016 1:49:29,,5,3,Taipei,7
10,8/8/2016 1:51:00,,3,3,Taipei,7
0,7/1/2016 13:27:56,Apps,3,4,SV,2
1,7/1/2016 13:29:33,Apps,3,5,SV,2
2,7/1/2016 13:29:43,Apps,3,3,SV,2
3,7/1/2016 13:30:28,Apps,3,4,SV,2
4,7/1/2016 13:34:11,Apps,3,3,SV,2
