,timestamp,track,satisfaction,pacing,location,week
0,2016-07-22 12:52:43,Apps,4,3,SV,5
1,2016-07-22 12:53:47,Apps,5,3,SV,5
2,2016-07-23 14:14:16,Apps,3,3,SV,5
3,2016-07-22 14:37:17,Apps,2,3,SV,5
4,2016-07-22 12:49:36,Games,4,3,SV,5
5,2016-07-22 12:50:23,Games,4,3,SV,5
6,2016-07-22 12:53:36,Apps,5,3,SV,5
7,2016-07-22 13:11:42,Apps,3,3,SV,5
8,2016-07-22 14:03:30,Apps,5,3,SV,5
9,2016-07-22 14:25:23,Apps,4,4,SV,5
10,2016-07-22 14:54:14,Apps,4,3,SV,5
11,2016-07-22 14:26:04,Apps,5,3,SV,5
12,2016-07-22 12:45:30,Intro,4,4,SV,5
13,2016-07-22 14:25:54,Apps,5,3,SV,5
14,2016-07-22 12:47:59,Apps,4,5,SV,5
15,2016-07-22 16:21:04,Apps,2,2,SV,5
16,2016-07-22 14:25:46,Apps,4,3,SV,5
17,2016-07-22 15:53:14,Apps,5,4,SV,5
18,2016-07-22 18:00:51,Apps,3,4,SV,5
19,2016-07-22 12:51:51,Apps,4,4,SV,5
20,2016-07-22 14:26:06,Apps,4,3,SV,5
21,2016-07-22 14:27:03,Apps,4,3,SV,5
22,2016-07-22 14:28:15,Apps,3,4,SV,5
23,2016-07-22 12:43:02,Games,5,3,SV,5
24,2016-07-22 12:46:29,Games,5,3,SV,5
25,2016-07-22 12:50:31,Games,4,5,SV,5
26,2016-07-22 14:26:59,Games,4,3,SV,5
27,2016-07-22 14:27:45,Intro,4,3,SV,5
28,2016-07-22 12:45:12,Intro,4,3,SV,5
29,2016-07-22 13:00:34,Intro,5,3,SV,5
30,2016-07-22 14:40:12,Intro,4,3,SV,5
31,2016-07-22 12:44:15,Intro,4,3,SV,5
32,2016-07-22 12:45:16,Intro,5,3,SV,5
33,2016-07-22 12:49:41,Intro,4,4,SV,5
34,2016-07-22 12:52:37,Intro,4,2,SV,5
35,2016-07-22 12:52:51,Intro,5,3,SV,5
36,2016-07-22 15:24:21,Games,3,5,SV,5
37,2016-07-22 15:54:08,Games,5,2,SV,5
38,2016-07-22 15:24:25,Games,3,3,SV,5
39,2016-07-22 12:45:22,Games,5,3,SV,5
40,2016-07-22 14:04:51,Games,5,3,SV,5
0,2016-07-08 10:31:27,,4,2,LA,3
1,2016-07-08 13:45:52,,4,4,LA,3
2,2016-07-08 13:47:42,,4,3,LA,3
3,2016-07-08 13:47:59,,4,3,LA,3
4,2016-07-08 14:12:24,,4,3,LA,3
5,2016-07-08 14:13:39,,5,4,LA,3
0,2016-07-01 16:35:14,Apps,2,3,SF,2
1,2016-07-01 16:10:55,Apps,3,2,SF,2
2,2016-07-01 17:00:26,Apps,3,3,SF,2
3,2016-07-03 14:53:37,Apps,3,3,SF,2
4,2016-07-01 15:35:19,Apps,4,2,SF,2
5,2016-07-01 15:51:23,Apps,4,2,SF,2
6,2016-07-01 16:07:02,Apps,4,5,SF,2
7,2016-07-01 16:07:26,Apps,4,3,SF,2
8,2016-07-01 16:08:19,Apps,4,4,SF,2
9,2016-07-01 16:12:30,Apps,4,4,SF,2
10,2016-07-01 16:19:32,Apps,4,3,SF,2
11,2016-07-01 16:21:07,Apps,4,5,SF,2
12,2016-07-01 16:41:10,Apps,4,3,SF,2
13,2016-07-01 17:06:05,Apps,4,3,SF,2
14,2016-07-01 17:18:27,Apps,4,3,SF,2
15,2016-07-01 19:06:08,Apps,4,2,SF,2
16,2016-07-02 00:32:56,Apps,4,3,SF,2
17,2016-07-01 16:05:40,Apps,5,3,SF,2
18,2016-07-01 16:07:13,Apps,5,2,SF,2
19,2016-07-01 16:07:24,Apps,5,3,SF,2
20,2016-07-01 16:07:58,Apps,5,3,SF,2
21,2016-07-01 16:07:58,Apps,5,4,SF,2
22,2016-07-01 16:08:49,Apps,5,3,SF,2
23,2016-07-01 16:10:20,Apps,5,3,SF,2
24,2016-07-01 16:10:46,Apps,5,2,SF,2
25,2016-07-01 16:12:17,Apps,5,3,SF,2
26,2016-07-01 16:19:33,Apps,5,4,SF,2
27,2016-07-01 16:22:03,Apps,5,3,SF,2
28,2016-07-01 16:10:34,Games,4,4,SF,2
29,2016-07-01 16:23:13,Games,4,5,SF,2
30,2016-07-01 16:07:04,Games,5,3,SF,2
